ID,PSET,ALT_PRONOUNCE,PRONOUN,VERB,GENDER,SYLLABARY,PRONOUNCE,ENGLISH,INTRO NOTE,END NOTE
,,Galo:hisdi̋ wù:ktv́:le:sv̌.,,,,ᎦᎶᎯᏍᏗ ᏭᎦᏛᎴᏒ.,Galo:hisdi̋:ɂi wù:ktv́:le:sv̌:ɂi.,He went through the doorway.,,
,,,,,,ᏥᏍᏛᎾ ᏗᎩᏯᎷᎦ.,Jí:sdv:na dì:gihyalú:ga.,Let's all go look for crawdads.,,
,,,,,,ᎩᎳᏊ ᏫᏓᏗᎷᏥ.,Kilágwu wida:dilúhji.,We'll all get there pretty soon.,,
,,Gadò:hv́ dù:nagale:nv:hé?,,,,ᎦᏙᎲ ᏚᎾᎦᎴᏅᎮᎢ?,Gadò:hv́ dù:nagale:nv:hé:ɂi?,Why did they separate?,,
,,Jalv̌:kwdis jadawò:sdi?,,,,ᏣᎸᏉᏗᏍ ᏣᏓᏬᏍᏗ?,Jalv̌:kwdisgo jadawò:sdi?,Do you like to swim?,,
,,,,,,ᎤᏗᎴᎩᏊ ᎤᎧᏛᎢ.,Ù:di:hlehgigwu ù:katv̋:ɂhi.,His face is just hot.,,
,,Ù:gohnv̌:gwu Ù:né:gaɂlv̋.,,,,ᎤᎪᏅᎢᏊ ᎤᏁᎦᎸᎢ.,Ù:gohnv̌:ɂigwu Ù:né:gaɂlv̋:ɂi.,His skin is just burned,,
,,,,,,ᎦᎵᏦᏕ ᏓᎦᏁᏍᎨᎯ.,Gahljǒ:de da:gà:né:sge:hi.,I am going to build a house.,,
,,Jà:kiné:ɂistánv̋́ gè:lî:sgv́.,,,,ᏣᎩᎢᏁᎢᏍᏔᏅ ᎨᎵᏍᎬ.,Jà:kiné:ɂistánv̋́:ɂi gè:lî:sgv́.,I thought I mentioned it.,,
,,Ù:sdiné:gaɂlv̋ à:dlagǒ:sga.,,,,ᎤᏍᏗᏁᎦᎸ ᎠᏜᎪᏍᎦ.,Ù:sdiné:gaɂlv̋:ɂi à:dlagǒ:sga.,He's scratching his scalp.,,
,,Ù:wohláɂv̋ da:yù:dě:tínv́:ɂi.; Ù:wohláɂv̋ da:yù:dě:tínv́.,,,,ᎤᏬᏝᎥᎢ ᏓᏳᏕᏘᏅᎢ.,Ù:wohláɂv̋:ɂi da:yù:dě:tínv́:ɂi.,He dived from a bluff.,,
,,Gà:salě:nis tinâ:wi:dv:hi?,,,,ᎦᏌᎴᏂᏍ ᏘᎾᏫᏛᎯ?,Gà:salě:nisgo tinâ:wi:dv:hi?,Are you going to take a coat?,,
